Variable,Descripción
N_SOLICITUD,Número de solicitud
f_3pva18m,"Clasificación Cliente (1=malo, 0=bueno)"
mes_solicitud o cosecha,Més en que se realizo la solicitud
edad,Edad del solicitante en años
suma_saldo_vencido_open,Suma de los saldos vencidos (cuentas abiertas)
suma_saldo_actual_open,Suma de los saldos actuales (cuentas abiertas)
razon_monto_apagar_saldo_actual_open,Razon de monto a pagar y saldo actual (suma_monto_apagar/suma_saldo_actual) (cuentas abiertas)
razon_monto_apagar_limite_credito_open,Razon de monto a pagar y limite de crédito (suma_monto_apagar/suma_limite_credito) (cuentas abiertas)
razon_monto_apagar_saldo_vencido_open,Razon de monto a pagar y saldo actual (suma_monto_apagar/suma_saldo_vencido) (cuentas abiertas)
razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,Razon del maximo saldo de la maxima mora y el maximo créditos más alto  (cuentas abiertas)
razon_saldo_vencido_saldo_actual_open,Razon suma de saldo vencido y suma de saldo actual  (cuentas abiertas)
suma_ponderada_pagos_12m_open,Suma ponderada de pagos considerando los últimos 12 meses desde la fecha de solicitud (cuentas abiertas)
suma_ponderada_pagos_18m_open,Suma ponderada de pagos considerando los últimos 18 meses desde la fecha de solicitud (cuentas abiertas)
suma_ponderada_pagos_24m_open,Suma ponderada de pagos considerando los últimos 24 meses desde la fecha de solicitud (cuentas abiertas)
r_sumapd_sumcl_open,Razón de Suma de Pagos Vencidos y Suma de Limite de Crédito (cuentas abiertas)
r_sumcb_sumcl_open,Razón de Suma de Balance Actual y Suma de Limite de Crédito (cuentas abiertas)
r_sumhhda_sumhc_open,Razón de Suma del monto vencido más alto historicamente y suma de crédito más alto (cuentas abiertas)
utilizacion_maximo_limite_open,Razón del máximo crédito más alto y el máximo limite de crédito (cuentas abiertas)
utilizacion_open,Razón de la suma de saldo actual y la suma de límite de crédito (cuentas abiertas)
max_antiguedad_cuenta_meses_open,Maximo de las antigüedades de cada cuenta expresadas en meses (cuentas abiertas)
min_antiguedad_cuenta_meses_open,Mínimo de las antigüedades de cada cuenta expresadas en meses (cuentas abiertas)
promedio_antiguedad_cuenta_meses_open,Promedio de las antigüedades de cada cuenta expresadas en meses (cuentas abiertas)
max_mop_tc_ult_12m_open,Maximo MOP en todas las cuentas de los últimos 12 meses (cuentas abiertas)
max_mop_tc_ult_18m_open,Maximo MOP en todas las cuentas de los últimos 18 meses (cuentas abiertas)
max_mop_tc_ult_24m_open,Maximo MOP en todas las cuentas de los últimos 24 meses (cuentas abiertas)
num_ctas_antig_12m_open,Numero de cuentas con antigüedad menor o igual a 12 meses (cuentas abiertas)
num_ctas_antig_18m_open,Numero de cuentas con antigüedad menor o igual a 18 meses (cuentas abiertas)
num_ctas_antig_24m_open,Numero de cuentas con antigüedad menor o igual a 24 meses (cuentas abiertas)
suma_saldo_vencido_ban_all,Suma de los saldos vencidos (cuentas bancarias)
suma_saldo_actual_ban_all,Suma de los saldos actuales (cuentas bancarias)
razon_monto_apagar_saldo_actual_ban_all,Razon de monto a pagar y saldo actual (suma_monto_apagar/suma_saldo_actual) (cuentas bancarias)
razon_monto_apagar_limite_credito_ban_all,Razon de monto a pagar y limite de crédito (suma_monto_apagar/suma_limite_credito) (cuentas bancarias)
razon_monto_apagar_saldo_vencido_ban_all,Razon de monto a pagar y saldo actual (suma_monto_apagar/suma_saldo_vencido) (cuentas bancarias)
razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,Razon del maximo saldo de la maxima mora y el maximo créditos más alto  (cuentas bancarias)
razon_saldo_vencido_saldo_actual_ban_all,Razon suma de saldo vencido y suma de saldo actual  (cuentas bancarias)
suma_ponderada_pagos_12m_ban_all,Suma ponderada de pagos considerando los últimos 12 meses desde la fecha de solicitud (cuentas bancarias)
suma_ponderada_pagos_18m_ban_all,Suma ponderada de pagos considerando los últimos 18 meses desde la fecha de solicitud (cuentas bancarias)
suma_ponderada_pagos_24m_ban_all,Suma ponderada de pagos considerando los últimos 24 meses desde la fecha de solicitud (cuentas bancarias)
r_sumapd_sumcl_ban_all,Razón de Suma de Pagos Vencidos y Suma de Limite de Crédito (cuentas bancarias)
r_sumcb_sumcl_ban_all,Razón de Suma de Balance Actual y Suma de Limite de Crédito (cuentas bancarias)
r_sumhhda_sumhc_ban_all,Razón de Suma del monto vencido más alto historicamente y suma de crédito más alto (cuentas bancarias)
utilizacion_maximo_limite_ban_all,Razón del máximo crédito más alto y el máximo limite de crédito (cuentas bancarias)
utilizacion_ban_all,Razón de la suma de saldo actual y la suma de límite de crédito (cuentas bancarias)
max_antiguedad_cuenta_meses_ban_all,Maximo de las antigüedades de cada cuenta expresadas en meses (cuentas bancarias)
min_antiguedad_cuenta_meses_ban_all,Mínimo de las antigüedades de cada cuenta expresadas en meses (cuentas bancarias)
promedio_antiguedad_cuenta_meses_ban_all,Promedio de las antigüedades de cada cuenta expresadas en meses (cuentas bancarias)
max_mop_tc_ult_12m_ban_all,Maximo MOP en todas las cuentas de los últimos 12 meses (cuentas bancarias)
max_mop_tc_ult_18m_ban_all,Maximo MOP en todas las cuentas de los últimos 18 meses (cuentas bancarias)
max_mop_tc_ult_24m_ban_all,Maximo MOP en todas las cuentas de los últimos 24 meses (cuentas bancarias)
num_ctas_antig_12m_ban_all,Numero de cuentas con antigüedad menor o igual a 12 meses (cuentas bancarias)
num_ctas_antig_18m_ban_all,Numero de cuentas con antigüedad menor o igual a 18 meses (cuentas bancarias)
num_ctas_antig_24m_ban_all,Numero de cuentas con antigüedad menor o igual a 24 meses (cuentas bancarias)
n_cons6meses_all,Número de consultas a buro de crédito el los últimos 6 meses
n_cons9meses_all,Número de consultas a buro de crédito el los últimos 9 meses
n_cons12meses_all,Número de consultas a buro de crédito el los últimos 12 meses
